VC:2f90039 BD:Jan 16 2014 SN:LGR-14-0208
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  06/20/2016 09:22:01.979,   1.898720e+00,   5.168748e-04,   1.563792e+04,   1.852179e+01,   4.240673e+02,   4.119178e-01,   1.928884e+00,   5.011313e-04,   4.308041e+02,   4.156976e-01,   1.405493e+02,   2.102670e-02,   2.227771e+01,   4.298550e-04,   2.260576e+01,   1.474780e-02,   1.125374e+01,   2.140315e-03,   1.169536e+01,   3.735049e-03,              3,              0,       1 meters
  06/20/2016 09:22:06.862,   1.898542e+00,   7.986576e-04,   1.564204e+04,   3.484467e+01,   4.248839e+02,   1.369001e-01,   1.928711e+00,   7.990085e-04,   4.316355e+02,   1.516317e-01,   1.405601e+02,   2.227406e-02,   2.227890e+01,   1.767207e-04,   2.265257e+01,   1.486876e-02,   1.125601e+01,   2.151824e-03,   1.169643e+01,   1.642322e-03,              3,              0,       1 meters
  06/20/2016 09:22:11.747,   1.897533e+00,   1.173322e-03,   1.566500e+04,   1.319196e+01,   4.248041e+02,   2.089547e-01,   1.927731e+00,   1.214875e-03,   4.315645e+02,   2.175792e-01,   1.406174e+02,   2.214427e-02,   2.228002e+01,   6.802117e-04,   2.269931e+01,   1.443414e-02,   1.125518e+01,   2.359103e-03,   1.169635e+01,   3.045846e-03,              3,              0,       1 meters
  06/20/2016 09:22:16.631,   1.897835e+00,   8.423514e-04,   1.564542e+04,   2.190368e+01,   4.271671e+02,   1.025122e+00,   1.927999e+00,   8.539307e-04,   4.339565e+02,   1.043151e+00,   1.406335e+02,   2.202057e-02,   2.228187e+01,   4.225209e-04,   2.274901e+01,   1.588377e-02,   1.125503e+01,   4.401244e-03,   1.169660e+01,   1.167111e-03,              3,              0,       1 meters
  06/20/2016 09:22:21.516,   1.898193e+00,   3.951604e-04,   1.562323e+04,   2.909793e+01,   4.270414e+02,   5.243036e-01,   1.928320e+00,   4.224062e-04,   4.338190e+02,   5.381452e-01,   1.405858e+02,   1.518515e-02,   2.228296e+01,   1.660199e-04,   2.279672e+01,   1.535800e-02,   1.125388e+01,   2.554423e-03,   1.169527e+01,   3.342055e-03,              3,              0,       1 meters
  06/20/2016 09:22:26.400,   1.897824e+00,   6.251453e-04,   1.558716e+04,   2.189993e+01,   4.251944e+02,   4.731412e-01,   1.927874e+00,   6.542356e-04,   4.319269e+02,   4.887690e-01,   1.405599e+02,   1.467533e-02,   2.228405e+01,   5.257351e-04,   2.284316e+01,   1.494731e-02,   1.125618e+01,   1.539368e-03,   1.169631e+01,   2.510261e-03,              3,              0,       1 meters
  06/20/2016 09:22:31.286,   1.898344e+00,   2.830479e-04,   1.562108e+04,   7.596787e+00,   4.242164e+02,   2.018156e-01,   1.928469e+00,   2.858628e-04,   4.309483e+02,   2.066065e-01,   1.405505e+02,   2.116601e-02,   2.228575e+01,   6.035278e-04,   2.289278e+01,   1.443475e-02,   1.125186e+01,   2.045828e-03,   1.169221e+01,   1.955631e-03,              3,              0,       1 meters
  06/20/2016 09:22:36.170,   1.897633e+00,   6.055602e-04,   1.563545e+04,   2.404586e+01,   4.232577e+02,   3.141636e-01,   1.927775e+00,   6.364476e-04,   4.299806e+02,   3.128492e-01,   1.406123e+02,   3.460273e-02,   2.228713e+01,   4.442376e-04,   2.293631e+01,   1.290068e-02,   1.125809e+01,   1.892093e-03,   1.169652e+01,   2.669872e-03,              3,              0,       1 meters
  06/20/2016 09:22:41.054,   1.897859e+00,   6.405224e-04,   1.564753e+04,   4.358352e+01,   4.229470e+02,   2.112361e-01,   1.928028e+00,   7.329565e-04,   4.296703e+02,   2.201163e-01,   1.406278e+02,   2.095330e-02,   2.228884e+01,   5.447971e-04,   2.298273e+01,   1.491836e-02,   1.125385e+01,   3.830080e-03,   1.169460e+01,   1.633159e-03,              3,              0,       1 meters
  06/20/2016 09:22:45.939,   1.897723e+00,   8.399607e-04,   1.559691e+04,   2.617006e+01,   4.222435e+02,   3.404182e-01,   1.927790e+00,   8.960636e-04,   4.289335e+02,   3.439537e-01,   1.405974e+02,   5.916733e-03,   2.229080e+01,   7.825380e-04,   2.302847e+01,   1.459280e-02,   1.125213e+01,   9.554302e-04,   1.169714e+01,   3.145840e-03,              3,              0,       1 meters
  06/20/2016 09:22:50.822,   1.897473e+00,   5.541703e-04,   1.560221e+04,   1.869498e+01,   4.217065e+02,   1.144605e-01,   1.927547e+00,   5.699116e-04,   4.283904e+02,   1.207502e-01,   1.405644e+02,   1.485698e-02,   2.229257e+01,   4.160050e-04,   2.307291e+01,   1.332611e-02,   1.125519e+01,   1.317079e-03,   1.169499e+01,   3.079136e-03,              3,              0,       1 meters
  06/20/2016 09:22:55.707,   1.897642e+00,   7.325478e-04,   1.562145e+04,   5.378932e+01,   4.220660e+02,   2.643530e-01,   1.927756e+00,   7.287157e-04,   4.287639e+02,   2.874013e-01,   1.405439e+02,   1.696503e-02,   2.229447e+01,   6.204605e-04,   2.311479e+01,   1.400367e-02,   1.125364e+01,   3.346630e-03,   1.169507e+01,   3.697162e-03,              3,              0,       1 meters
  06/20/2016 09:23:00.591,   1.898018e+00,   8.920252e-04,   1.562623e+04,   2.416812e+01,   4.223217e+02,   1.290178e-01,   1.928148e+00,   9.397039e-04,   4.290257e+02,   1.338135e-01,   1.405870e+02,   2.599633e-02,   2.229619e+01,   5.039598e-04,   2.315424e+01,   1.198695e-02,   1.125408e+01,   1.866719e-03,   1.169493e+01,   1.614800e-03,              3,              0,       1 meters
  06/20/2016 09:23:05.477,   1.897554e+00,   6.989721e-04,   1.563267e+04,   4.686194e+01,   4.223783e+02,   1.441634e-01,   1.927689e+00,   6.312080e-04,   4.290860e+02,   1.486067e-01,   1.406350e+02,   2.226764e-02,   2.229817e+01,   5.739427e-04,   2.319391e+01,   1.324146e-02,   1.125139e+01,   2.832558e-03,   1.169228e+01,   3.675898e-03,              3,              0,       1 meters
  06/20/2016 09:23:10.361,   1.896702e+00,   3.806616e-04,   1.560639e+04,   3.672809e+01,   4.220661e+02,   2.040114e-01,   1.926772e+00,   3.400006e-04,   4.287575e+02,   2.075052e-01,   1.406148e+02,   2.084749e-02,   2.230015e+01,   6.240298e-04,   2.323686e+01,   1.325285e-02,   1.125565e+01,   1.909727e-03,   1.169273e+01,   4.610597e-03,              3,              0,       1 meters
  06/20/2016 09:23:15.246,   1.896901e+00,   8.343125e-04,   1.560530e+04,   2.994984e+01,   4.216537e+02,   2.234265e-01,   1.926972e+00,   8.303803e-04,   4.283381e+02,   2.245060e-01,   1.405780e+02,   1.252098e-02,   2.230226e+01,   7.555152e-04,   2.327697e+01,   1.135613e-02,   1.125347e+01,   2.835744e-03,   1.169240e+01,   2.493088e-03,              3,              0,       1 meters
  06/20/2016 09:23:20.131,   1.896675e+00,   1.110612e-03,   1.562842e+04,   2.871974e+01,   4.211354e+02,   4.253048e-02,   1.926788e+00,   1.144201e-03,   4.278216e+02,   5.393416e-02,   1.405496e+02,   1.996344e-02,   2.230455e+01,   8.198020e-04,   2.331425e+01,   1.287186e-02,   1.125425e+01,   2.768346e-03,   1.169311e+01,   1.520370e-03,              3,              0,       1 meters
  06/20/2016 09:23:25.014,   1.897429e+00,   8.238822e-04,   1.564225e+04,   2.822959e+01,   4.211119e+02,   6.754097e-02,   1.927581e+00,   7.855217e-04,   4.278037e+02,   7.304776e-02,   1.405607e+02,   1.693355e-02,   2.230681e+01,   6.602208e-04,   2.335118e+01,   1.096898e-02,   1.125043e+01,   2.899588e-03,   1.169084e+01,   3.206280e-03,              3,              0,       1 meters
  06/20/2016 09:23:29.900,   1.897108e+00,   5.059362e-04,   1.565233e+04,   1.698134e+01,   4.214662e+02,   1.674079e-01,   1.927274e+00,   4.887693e-04,   4.281681e+02,   1.734393e-01,   1.405774e+02,   1.356320e-02,   2.230914e+01,   6.904672e-04,   2.338525e+01,   9.902513e-03,   1.125291e+01,   2.245985e-03,   1.169208e+01,   4.533651e-03,              3,              0,       1 meters
  06/20/2016 09:23:34.783,   1.897079e+00,   7.319356e-04,   1.568859e+04,   2.873264e+01,   4.216581e+02,   1.543133e-01,   1.927316e+00,   7.801332e-04,   4.283788e+02,   1.616679e-01,   1.405899e+02,   1.566457e-02,   2.231199e+01,   1.092991e-03,   2.341848e+01,   1.192039e-02,   1.125388e+01,   2.471797e-03,   1.169390e+01,   2.089669e-03,              3,              0,       1 meters
  06/20/2016 09:23:39.667,   1.896625e+00,   1.015212e-03,   1.565573e+04,   3.031479e+01,   4.222471e+02,   1.064386e-01,   1.926790e+00,   9.933416e-04,   4.289628e+02,   9.665117e-02,   1.406096e+02,   1.379991e-02,   2.231455e+01,   7.985090e-04,   2.345345e+01,   1.200258e-02,   1.125394e+01,   2.988062e-03,   1.169107e+01,   3.877773e-03,              3,              0,       1 meters
  06/20/2016 09:23:44.551,   1.896137e+00,   6.127907e-04,   1.566691e+04,   5.189752e+01,   4.222942e+02,   2.096445e-01,   1.926317e+00,   5.673481e-04,   4.290155e+02,   2.078686e-01,   1.406144e+02,   1.061708e-02,   2.231653e+01,   6.630308e-04,   2.348945e+01,   1.119144e-02,   1.125235e+01,   2.168052e-03,   1.168991e+01,   1.786930e-03,              3,              0,       1 meters
  06/20/2016 09:23:49.436,   1.896386e+00,   5.810283e-04,   1.566970e+04,   4.018650e+01,   4.217018e+02,   5.258400e-02,   1.926575e+00,   6.125491e-04,   4.284149e+02,   5.128636e-02,   1.405921e+02,   3.383544e-02,   2.231946e+01,   9.437925e-04,   2.352506e+01,   1.100520e-02,   1.125386e+01,   1.616961e-03,   1.169005e+01,   1.649966e-03,              3,              0,       1 meters
  06/20/2016 09:23:54.322,   1.896013e+00,   6.803079e-04,   1.565705e+04,   4.519275e+01,   4.211078e+02,   1.536230e-01,   1.926171e+00,   6.733174e-04,   4.278059e+02,   1.630858e-01,   1.405924e+02,   2.151173e-02,   2.232217e+01,   8.673266e-04,   2.355907e+01,   1.015854e-02,   1.125560e+01,   1.524586e-03,   1.169223e+01,   3.046990e-03,              3,              0,       1 meters
  06/20/2016 09:23:59.206,   1.896332e+00,   1.153901e-03,   1.567123e+04,   2.512622e+01,   4.212574e+02,   2.061270e-01,   1.926523e+00,   1.193645e-03,   4.279641e+02,   2.073758e-01,   1.405885e+02,   3.070151e-02,   2.232465e+01,   9.675939e-04,   2.359048e+01,   9.135102e-03,   1.125375e+01,   2.525935e-03,   1.168988e+01,   2.454719e-03,              3,              0,       1 meters
  06/20/2016 09:24:04.090,   1.895930e+00,   1.302175e-03,   1.569531e+04,   4.700784e+01,   4.207822e+02,   2.753205e-01,   1.926161e+00,   1.275339e-03,   4.274918e+02,   2.832393e-01,   1.405792e+02,   1.434236e-02,   2.232748e+01,   1.004702e-03,   2.362439e+01,   1.041807e-02,   1.125471e+01,   3.498095e-03,   1.169061e+01,   2.133743e-03,              3,              0,       1 meters
  06/20/2016 09:24:08.975,   1.896170e+00,   4.373310e-04,   1.570582e+04,   1.153633e+01,   4.196168e+02,   3.888400e-01,   1.926426e+00,   4.537079e-04,   4.263124e+02,   3.968732e-01,   1.405727e+02,   1.545990e-02,   2.233060e+01,   1.175843e-03,   2.365726e+01,   1.117775e-02,   1.125343e+01,   1.978719e-03,   1.169298e+01,   2.518815e-03,              3,              0,       1 meters
  06/20/2016 09:24:13.858,   1.896191e+00,   4.611464e-04,   1.568740e+04,   1.633178e+01,   4.189306e+02,   1.298184e-01,   1.926411e+00,   4.646739e-04,   4.256073e+02,   1.346440e-01,   1.405572e+02,   1.985890e-02,   2.233360e+01,   8.180645e-04,   2.369162e+01,   1.035945e-02,   1.125443e+01,   3.510602e-03,   1.169125e+01,   2.578199e-03,              3,              0,       1 meters
  06/20/2016 09:24:18.742,   1.896757e+00,   2.589274e-04,   1.571604e+04,   2.525801e+01,   4.188928e+02,   1.019051e-01,   1.927043e+00,   2.621155e-04,   4.255813e+02,   9.903736e-02,   1.405364e+02,   1.824420e-02,   2.233625e+01,   7.857687e-04,   2.372145e+01,   9.227876e-03,   1.125266e+01,   2.854637e-03,   1.168977e+01,   3.685294e-03,              3,              0,       1 meters
  06/20/2016 09:24:23.628,   1.896322e+00,   1.361184e-03,   1.571104e+04,   3.811843e+01,   4.185427e+02,   2.077617e-01,   1.926591e+00,   1.410780e-03,   4.252234e+02,   2.260241e-01,   1.405453e+02,   2.002644e-02,   2.233925e+01,   9.841651e-04,   2.374943e+01,   1.088927e-02,   1.125245e+01,   3.955959e-03,   1.169278e+01,   4.082991e-03,              3,              0,       1 meters
  06/20/2016 09:24:28.513,   1.896061e+00,   3.651547e-04,   1.567777e+04,   4.224657e+01,   4.185842e+02,   1.266254e-01,   1.926261e+00,   3.804473e-04,   4.252512e+02,   1.313030e-01,   1.405474e+02,   1.421550e-02,   2.234252e+01,   1.264475e-03,   2.377809e+01,   8.025738e-03,   1.125337e+01,   1.141331e-03,   1.169291e+01,   2.061318e-03,              3,              0,       1 meters
  06/20/2016 09:24:33.398,   1.896450e+00,   1.093519e-03,   1.570870e+04,   2.172395e+01,   4.184358e+02,   1.437741e-01,   1.926716e+00,   1.131350e-03,   4.251138e+02,   1.380312e-01,   1.405489e+02,   1.529351e-02,   2.234558e+01,   8.694734e-04,   2.380639e+01,   9.566419e-03,   1.125121e+01,   2.473956e-03,   1.169267e+01,   3.610511e-03,              3,              0,       1 meters
  06/20/2016 09:24:38.282,   1.895836e+00,   7.110176e-04,   1.568115e+04,   8.776831e+00,   4.186201e+02,   2.870267e-01,   1.926039e+00,   7.283799e-04,   4.252891e+02,   2.904961e-01,   1.405527e+02,   2.013233e-02,   2.234875e+01,   1.109924e-03,   2.383726e+01,   1.052988e-02,   1.125369e+01,   3.231083e-03,   1.169166e+01,   1.999008e-03,              3,              0,       1 meters
  06/20/2016 09:24:43.165,   1.896188e+00,   7.565209e-04,   1.569269e+04,   8.175126e+00,   4.193027e+02,   1.625181e-01,   1.926419e+00,   7.623496e-04,   4.259876e+02,   1.659486e-01,   1.405631e+02,   1.483977e-02,   2.235211e+01,   8.558979e-04,   2.386579e+01,   7.540599e-03,   1.125287e+01,   1.316517e-03,   1.169374e+01,   3.266558e-03,              3,              0,       1 meters
  06/20/2016 09:24:48.049,   1.896135e+00,   1.251213e-03,   1.567039e+04,   1.800841e+01,   4.194562e+02,   1.198131e-01,   1.926322e+00,   1.241402e-03,   4.261339e+02,   1.221347e-01,   1.405666e+02,   1.188715e-02,   2.235530e+01,   1.076808e-03,   2.388929e+01,   9.598371e-03,   1.125188e+01,   1.311306e-03,   1.169155e+01,   2.308437e-03,              3,              0,       1 meters
  06/20/2016 09:24:52.934,   1.896152e+00,   5.729194e-04,   1.568541e+04,   1.537693e+01,   4.197580e+02,   1.147137e-01,   1.926368e+00,   5.978007e-04,   4.264470e+02,   1.195726e-01,   1.405627e+02,   1.114853e-02,   2.235818e+01,   9.918227e-04,   2.391817e+01,   8.735681e-03,   1.125191e+01,   2.326423e-03,   1.169060e+01,   3.418059e-03,              3,              0,       1 meters
  06/20/2016 09:24:57.818,   1.896134e+00,   6.124319e-04,   1.571678e+04,   2.107565e+01,   4.200777e+02,   2.387436e-01,   1.926411e+00,   6.124704e-04,   4.267854e+02,   2.433408e-01,   1.405678e+02,   1.988764e-02,   2.236180e+01,   1.198679e-03,   2.394635e+01,   8.474302e-03,   1.125409e+01,   2.517920e-03,   1.169078e+01,   3.462726e-03,              3,              0,       1 meters
  06/20/2016 09:25:02.703,   1.895904e+00,   2.471570e-04,   1.569316e+04,   1.731448e+01,   4.193712e+02,   4.696952e-01,   1.926131e+00,   2.616302e-04,   4.260574e+02,   4.732620e-01,   1.405626e+02,   1.215639e-02,   2.236536e+01,   1.135373e-03,   2.397286e+01,   7.503155e-03,   1.125419e+01,   3.706972e-03,   1.169271e+01,   3.477033e-03,              3,              0,       1 meters
  06/20/2016 09:25:07.587,   1.896306e+00,   9.639161e-04,   1.571586e+04,   2.588453e+01,   4.182034e+02,   3.085425e-01,   1.926584e+00,   9.693268e-04,   4.248808e+02,   3.217593e-01,   1.405685e+02,   1.164787e-02,   2.236874e+01,   9.561905e-04,   2.399884e+01,   9.173137e-03,   1.125286e+01,   3.091880e-03,   1.168833e+01,   4.388848e-03,              3,              0,       1 meters
  06/20/2016 09:25:12.471,   1.895439e+00,   4.869302e-04,   1.570582e+04,   3.067153e+01,   4.173103e+02,   1.914660e-01,   1.925684e+00,   4.913553e-04,   4.239691e+02,   1.995708e-01,   1.405692e+02,   4.004733e-03,   2.237223e+01,   1.207845e-03,   2.402692e+01,   8.406938e-03,   1.125291e+01,   3.905965e-03,   1.169391e+01,   2.474331e-03,              3,              0,       1 meters
  06/20/2016 09:25:17.357,   1.895895e+00,   6.520179e-04,   1.570029e+04,   5.907858e+01,   4.171890e+02,   3.284750e-01,   1.926136e+00,   7.047783e-04,   4.238434e+02,   3.273660e-01,   1.405779e+02,   2.070854e-02,   2.237610e+01,   1.064001e-03,   2.405254e+01,   6.717036e-03,   1.125381e+01,   1.753972e-03,   1.169052e+01,   3.729484e-03,              3,              0,       1 meters
  06/20/2016 09:25:22.240,   1.896494e+00,   7.244831e-04,   1.573303e+04,   2.897027e+01,   4.167622e+02,   3.016406e-01,   1.926808e+00,   7.008184e-04,   4.234239e+02,   3.022675e-01,   1.406090e+02,   2.353524e-02,   2.237902e+01,   1.038885e-03,   2.407292e+01,   7.662983e-03,   1.125090e+01,   1.818497e-03,   1.169141e+01,   2.916669e-03,              3,              0,       1 meters
  06/20/2016 09:25:27.125,   1.895657e+00,   8.368010e-04,   1.575903e+04,   1.239106e+01,   4.164153e+02,   2.257304e-01,   1.926009e+00,   8.544353e-04,   4.230827e+02,   2.277194e-01,   1.405812e+02,   2.480564e-02,   2.238269e+01,   1.236912e-03,   2.410075e+01,   7.500232e-03,   1.125463e+01,   3.301796e-03,   1.169333e+01,   2.459527e-03,              3,              0,       1 meters
  06/20/2016 09:25:32.009,   1.896247e+00,   4.319214e-04,   1.573355e+04,   2.116345e+01,   4.162117e+02,   2.447777e-01,   1.926558e+00,   4.670447e-04,   4.228649e+02,   2.561218e-01,   1.405598e+02,   1.610330e-02,   2.238638e+01,   9.863179e-04,   2.412502e+01,   7.754915e-03,   1.125413e+01,   1.400029e-03,   1.169175e+01,   2.425312e-03,              3,              0,       1 meters
  06/20/2016 09:25:36.895,   1.896765e+00,   9.005236e-04,   1.569846e+04,   2.836540e+01,   4.158484e+02,   2.108224e-01,   1.927016e+00,   9.666824e-04,   4.224807e+02,   2.186083e-01,   1.405396e+02,   2.173213e-02,   2.239022e+01,   1.155965e-03,   2.414898e+01,   7.360051e-03,   1.125252e+01,   1.459327e-03,   1.169190e+01,   5.294873e-03,              3,              0,       1 meters
  06/20/2016 09:25:41.778,   1.895861e+00,   5.222494e-04,   1.572814e+04,   1.727765e+01,   4.159966e+02,   2.477942e-01,   1.926156e+00,   5.339778e-04,   4.226440e+02,   2.506529e-01,   1.405476e+02,   1.315387e-02,   2.239393e+01,   1.154025e-03,   2.416829e+01,   5.264488e-03,   1.125372e+01,   3.672311e-03,   1.169378e+01,   3.096513e-03,              3,              0,       1 meters
  06/20/2016 09:25:46.663,   1.896083e+00,   5.549831e-04,   1.572839e+04,   2.527008e+01,   4.166873e+02,   2.764543e-01,   1.926382e+00,   5.709908e-04,   4.233459e+02,   2.854652e-01,   1.405776e+02,   1.956802e-02,   2.239770e+01,   1.211503e-03,   2.419276e+01,   7.428901e-03,   1.125294e+01,   6.263748e-04,   1.168837e+01,   3.159779e-03,              3,              0,       1 meters
  06/20/2016 09:25:51.548,   1.896460e+00,   6.315069e-04,   1.573497e+04,   3.439477e+01,   4.176063e+02,   3.476234e-01,   1.926778e+00,   6.594888e-04,   4.242824e+02,   3.486483e-01,   1.405707e+02,   1.985123e-02,   2.240136e+01,   1.340270e-03,   2.421375e+01,   5.042577e-03,   1.125340e+01,   1.742599e-03,   1.169200e+01,   2.354530e-03,              3,              0,       1 meters
  06/20/2016 09:25:56.444,   1.896151e+00,   8.128404e-04,   1.569412e+04,   6.016035e+01,   4.178969e+02,   2.538379e-01,   1.926384e+00,   7.865958e-04,   4.245600e+02,   2.795500e-01,   1.405489e+02,   2.113793e-02,   2.240514e+01,   1.354238e-03,   2.422999e+01,   6.276833e-03,   1.125574e+01,   4.144696e-03,   1.169133e+01,   4.696539e-03,              3,              0,       1 meters
  06/20/2016 09:26:01.331,   1.896677e+00,   8.570602e-04,   1.569344e+04,   3.311937e+01,   4.178511e+02,   1.903145e-01,   1.926916e+00,   9.044149e-04,   4.245132e+02,   1.866927e-01,   1.405396e+02,   1.733853e-02,   2.240930e+01,   1.232438e-03,   2.425693e+01,   7.392269e-03,   1.125293e+01,   2.985096e-03,   1.168776e+01,   2.514941e-03,              3,              0,       1 meters
  06/20/2016 09:26:06.216,   1.896405e+00,   3.825731e-04,   1.569576e+04,   3.725668e+01,   4.177486e+02,   2.251945e-01,   1.926645e+00,   4.200508e-04,   4.244100e+02,   2.176284e-01,   1.405637e+02,   1.141458e-02,   2.241316e+01,   1.305535e-03,   2.428015e+01,   7.515074e-03,   1.125302e+01,   1.945772e-03,   1.169287e+01,   2.492534e-03,              3,              0,       1 meters
  06/20/2016 09:26:11.099,   1.896053e+00,   1.306819e-04,   1.569879e+04,   2.590483e+01,   4.181854e+02,   1.530091e-01,   1.926293e+00,   1.042566e-04,   4.248552e+02,   1.585430e-01,   1.405840e+02,   2.418276e-02,   2.241703e+01,   1.316596e-03,   2.430011e+01,   5.791947e-03,   1.125380e+01,   7.419697e-04,   1.169176e+01,   2.734500e-03,              3,              0,       1 meters
  06/20/2016 09:26:15.982,   1.896828e+00,   1.040372e-03,   1.568871e+04,   1.328287e+01,   4.192408e+02,   4.351187e-01,   1.927062e+00,   1.058496e-03,   4.259230e+02,   4.451856e-01,   1.405577e+02,   2.199746e-02,   2.242107e+01,   1.184919e-03,   2.432189e+01,   6.081758e-03,   1.125392e+01,   2.227839e-03,   1.169017e+01,   2.271814e-03,              3,              0,       1 meters
  06/20/2016 09:26:20.866,   1.896403e+00,   6.557294e-04,   1.565854e+04,   2.763330e+01,   4.199859e+02,   2.297397e-01,   1.926571e+00,   6.999205e-04,   4.266668e+02,   2.241095e-01,   1.405328e+02,   2.172995e-02,   2.242557e+01,   1.566116e-03,   2.434116e+01,   7.613176e-03,   1.125397e+01,   8.910136e-04,   1.168979e+01,   1.153867e-03,              3,              0,       1 meters
  06/20/2016 09:26:25.750,   1.897104e+00,   2.814399e-04,   1.567946e+04,   4.735711e+01,   4.206345e+02,   4.377416e-01,   1.927324e+00,   2.790002e-04,   4.273349e+02,   4.453513e-01,   1.405416e+02,   1.707450e-02,   2.242929e+01,   1.338422e-03,   2.436045e+01,   4.544881e-03,   1.125443e+01,   1.560533e-03,   1.169019e+01,   2.531287e-03,              3,              0,       1 meters
  06/20/2016 09:26:30.635,   1.896817e+00,   5.470300e-04,   1.570044e+04,   3.600187e+01,   4.215322e+02,   2.818381e-01,   1.927073e+00,   5.345877e-04,   4.282560e+02,   2.837539e-01,   1.405689e+02,   1.320138e-02,   2.243324e+01,   1.298850e-03,   2.437564e+01,   6.076233e-03,   1.125114e+01,   2.017039e-03,   1.169187e+01,   1.458977e-03,              3,              0,       1 meters
  06/20/2016 09:26:35.519,   1.896566e+00,   8.286773e-04,   1.568939e+04,   2.452527e+01,   4.203769e+02,   5.556500e-01,   1.926796e+00,   8.340863e-04,   4.270775e+02,   5.632846e-01,   1.405891e+02,   2.259513e-02,   2.243733e+01,   1.150826e-03,   2.439439e+01,   6.660915e-03,   1.125367e+01,   3.251787e-03,   1.169131e+01,   2.030112e-03,              3,              0,       1 meters
  06/20/2016 09:26:40.404,   1.896790e+00,   6.418699e-04,   1.571722e+04,   1.727395e+01,   4.191387e+02,   4.788646e-01,   1.927078e+00,   6.500727e-04,   4.258315e+02,   4.815082e-01,   1.405556e+02,   1.904121e-02,   2.244161e+01,   1.470835e-03,   2.441830e+01,   7.333633e-03,   1.125618e+01,   3.769746e-03,   1.169244e+01,   2.332085e-03,              3,              0,       1 meters
  06/20/2016 09:26:45.290,   1.896949e+00,   9.674038e-04,   1.569720e+04,   5.084046e+01,   4.183888e+02,   1.822982e-01,   1.927201e+00,   9.513226e-04,   4.250611e+02,   1.878947e-01,   1.405408e+02,   2.090340e-02,   2.244572e+01,   1.472445e-03,   2.443788e+01,   6.022369e-03,   1.125218e+01,   3.407738e-03,   1.169427e+01,   1.406609e-03,              3,              0,       1 meters
  06/20/2016 09:26:50.174,   1.897239e+00,   8.485306e-04,   1.570389e+04,   2.340064e+01,   4.189495e+02,   2.477704e-01,   1.927509e+00,   8.979515e-04,   4.256336e+02,   2.611839e-01,   1.405572e+02,   9.828399e-03,   2.244994e+01,   1.397051e-03,   2.445379e+01,   3.907585e-03,   1.125309e+01,   1.871802e-03,   1.169250e+01,   1.083593e-03,              3,              0,       1 meters
  06/20/2016 09:26:55.058,   1.896629e+00,   1.348809e-03,   1.569824e+04,   2.869928e+01,   4.204339e+02,   1.940779e-01,   1.926877e+00,   1.393824e-03,   4.271393e+02,   1.913580e-01,   1.405822e+02,   1.963100e-02,   2.245343e+01,   1.194684e-03,   2.446941e+01,   6.470617e-03,   1.125509e+01,   3.418027e-03,   1.169206e+01,   3.916959e-03,              3,              0,       1 meters
  06/20/2016 09:26:59.942,   1.897403e+00,   1.075115e-03,   1.572227e+04,   4.658954e+01,   4.196522e+02,   3.007533e-01,   1.927711e+00,   1.085865e-03,   4.263555e+02,   3.212694e-01,   1.405766e+02,   1.896978e-02,   2.245791e+01,   1.332706e-03,   2.449049e+01,   7.706430e-03,   1.125244e+01,   3.018744e-03,   1.169276e+01,   1.908983e-03,              3,              0,       1 meters
  06/20/2016 09:27:04.827,   1.896741e+00,   1.027150e-03,   1.565912e+04,   4.913849e+01,   4.192331e+02,   2.449963e-01,   1.926915e+00,   1.038464e-03,   4.259023e+02,   2.558833e-01,   1.405433e+02,   1.854249e-02,   2.246197e+01,   1.257604e-03,   2.450854e+01,   3.586984e-03,   1.125551e+01,   1.247950e-03,   1.169215e+01,   2.487644e-03,              3,              0,       1 meters
  06/20/2016 09:27:09.712,   1.896476e+00,   7.134361e-04,   1.568724e+04,   3.410441e+01,   4.190192e+02,   1.424462e-01,   1.926701e+00,   7.503410e-04,   4.256972e+02,   1.449199e-01,   1.405429e+02,   1.436789e-02,   2.246586e+01,   1.120959e-03,   2.452418e+01,   7.097633e-03,   1.125419e+01,   4.171004e-03,   1.169084e+01,   5.142833e-03,              3,              0,       1 meters
  06/20/2016 09:27:14.595,   1.897175e+00,   6.224104e-04,   1.571500e+04,   2.469494e+01,   4.185668e+02,   2.869783e-01,   1.927465e+00,   5.847171e-04,   4.252496e+02,   2.845769e-01,   1.405726e+02,   2.095716e-02,   2.247039e+01,   1.222946e-03,   2.453712e+01,   2.083209e-03,   1.125245e+01,   1.565547e-03,   1.169353e+01,   4.310477e-03,              3,              0,       1 meters
